sample_id,label,source_dataset,label_type,latitude,longitude,acquisition_time,firms_observation_id,cloud_cover,industrial_distance_km,osm_industrial_type,bands,image_path,quality,notes
wf_ts_satfire_0074,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.6664,-111.3203,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0074.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 4)
wf_sen2fire_0075,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.23,27.86,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0075.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 4)
wf_sen2fire_0076,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.5917,76.5583,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0076.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 5)
wf_sen2fire_0077,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.9083,86.4083,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0077.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 5)
wf_ts_satfire_0078,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.5224,79.7341,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0078.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 5)
wf_ts_satfire_0079,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.1798,77.0984,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0079.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 5)
wf_sen2fire_0080,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6104,76.2933,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0080.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 5)
wf_sen2fire_0081,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.5083,77.2417,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0081.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 5)
wf_sen2fire_0082,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.955,76.225,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0082.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 5)
wf_ts_satfire_0083,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.8021,92.6426,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0083.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 5)
wf_sen2fire_0084,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.2528,76.3639,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0084.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 5)
wf_ts_satfire_0085,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.1748,76.3441,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0085.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 5)
wf_sen2fire_0086,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.445,23.935,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0086.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 5)
wf_ts_satfire_0087,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.885,-121.505,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0087.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 5)
wf_sen2fire_0088,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.375,149.725,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0088.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 5)
wf_ts_satfire_0089,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.8014,-111.3053,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0089.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 5)
wf_sen2fire_0090,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.095,27.995,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0090.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 5)
wf_sen2fire_0091,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.7567,76.5433,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0091.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 6)
wf_sen2fire_0092,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.7433,86.2433,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0092.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 6)
